# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=40
# for k=1.06204e-05 to 11.102 h/Mpc,
# number of wavenumbers equal to 616
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_ncdm[2]              9:d_tot                 10:d_cb                  11:phi                   12:psi                   13:h                     14:h_prime               15:eta                   16:eta_prime             17:H_T_Nb_prime          18:k2gamma_Nb            19:t_g                   20:t_b                   21:t_cdm                 22:t_cb                  23:t_ur                  24:t_ncdm[0]             25:t_ncdm[1]             26:t_ncdm[2]             27:t_tot              
       6.601919216778e-01      -6.989732628214e-03      -9.624518347672e+02      -1.117178312315e+03      -6.987069764605e-03      -1.553452427880e+00      -1.553452427880e+00      -1.553452427880e+00      -1.038574127269e+03      -1.093241089315e+03       5.356194528856e-03       5.356194351866e-03       2.234356389913e+03       1.755146991428e+00       9.004734978747e-03      -2.445571479351e-07       5.713834982086e-07      -4.373457016515e-10      -1.650304518267e-07       8.678762352367e-01       8.775733334260e-01       1.753645895575e+00      -1.622879455680e-07       2.594701862003e-03       2.594701862003e-03       2.594701862003e-03       8.302703438625e-01 
       6.634101525039e-01      -6.937681329899e-03      -9.644126216555e+02      -1.119451621059e+03      -6.935038872389e-03      -1.539827436150e+00      -1.539827436150e+00      -1.539827436150e+00      -1.040687101622e+03      -1.095466048647e+03       5.315145972212e-03       5.315145815422e-03       2.238903006917e+03       1.758718503147e+00       8.935726343078e-03      -2.426895471650e-07       5.628903546906e-07      -4.339999146345e-10      -1.678997780155e-07       8.696423889044e-01       8.793590863954e-01       1.757214377876e+00      -1.651782868654e-07       2.570644964526e-03       2.570644964523e-03       2.570644964525e-03       8.319585870201e-01 
       6.666283834016e-01      -6.886224585129e-03      -9.663581286379e+02      -1.121712262225e+03      -6.883602297105e-03      -1.530445712300e+00      -1.530445712300e+00      -1.530445712300e+00      -1.042787842427e+03      -1.097677936275e+03       5.274576636119e-03       5.274576473239e-03       2.243424288794e+03       1.762269163265e+00       8.867522968812e-03      -2.408181444447e-07       5.611632676652e-07      -4.310572773717e-10      -1.639918837650e-07       8.713977942042e-01       8.811344203413e-01       1.760761964412e+00      -1.612911655462e-07       2.662390963687e-03       2.662390963687e-03       2.662390963687e-03       8.336419361201e-01 
       6.698466143698e-01      -6.835399864030e-03      -9.682891337348e+02      -1.123960610002e+03      -6.832797511637e-03      -1.520887101095e+00      -1.520887101095e+00      -1.520887101095e+00      -1.044876573102e+03      -1.099877188825e+03       5.234479531768e-03       5.234479370531e-03       2.247920983845e+03       1.765799667387e+00       8.800113767215e-03      -2.390182046596e-07       5.574466338412e-07      -4.279837559872e-10      -1.622881654358e-07       8.731428511596e-01       8.828996740855e-01       1.764289351051e+00      -1.596079801320e-07       2.530723199716e-03       2.530723199717e-03       2.530723199717e-03       8.353059958010e-01 
       6.730648454076e-01      -6.785149580465e-03      -9.702071994438e+02      -1.126197420470e+03      -6.782566931460e-03      -1.507865552484e+00      -1.507865552484e+00      -1.507865552484e+00      -1.046953988132e+03      -1.102064687173e+03       5.194850159830e-03       5.194850007305e-03       2.252394604307e+03       1.769311384714e+00       8.733491554941e-03      -2.372117090863e-07       5.513156397911e-07      -4.244049278852e-10      -1.629793788143e-07       8.748783436614e-01       8.846555320374e-01       1.767797922428e+00      -1.603194874817e-07       2.524121649464e-03       2.524121649464e-03       2.524121649464e-03       8.369665571498e-01 
       6.762830765138e-01      -6.735483499308e-03      -9.721137911944e+02      -1.128422912097e+03      -6.732920324058e-03      -1.497115588408e+00      -1.497115588408e+00      -1.497115588408e+00      -1.049020726562e+03      -1.104240842690e+03       5.155683783519e-03       5.155683630672e-03       2.256845587101e+03       1.772804930906e+00       8.667647431798e-03      -2.354176062930e-07       5.477122691349e-07      -4.210541697766e-10      -1.611803830534e-07       8.766047203284e-01       8.864023069124e-01       1.771288320054e+00      -1.585405497191e-07       2.561103496433e-03       2.561103496433e-03       2.561103496432e-03       8.386203966824e-01 
       6.795013076876e-01      -6.686414945888e-03      -9.740114749269e+02      -1.130638742130e+03      -6.683871014175e-03      -1.487878561990e+00      -1.487878561990e+00      -1.487878561990e+00      -1.051078463367e+03      -1.106407453193e+03       5.116980766997e-03       5.116980617114e-03       2.261277246698e+03       1.776283166477e+00       8.602582074996e-03      -2.336545806713e-07       5.443140031214e-07      -4.185563750045e-10      -1.592697510950e-07       8.783235125439e-01       8.881414265889e-01       1.774763418024e+00      -1.566497387743e-07       2.548906747653e-03       2.548906747652e-03       2.548906747653e-03       8.402648598781e-01 
       6.827195389280e-01      -6.637932850193e-03      -9.759010892750e+02      -1.132844614611e+03      -6.635407935688e-03      -1.476977687931e+00      -1.476977687930e+00      -1.476977687930e+00      -1.053126946616e+03      -1.108564398251e+03       5.078732044023e-03       5.078731899094e-03       2.265688991179e+03       1.779745860987e+00       8.538280627481e-03      -2.319255545246e-07       5.403753003047e-07      -4.160704826506e-10      -1.580017880627e-07       8.800347231055e-01       8.898727750920e-01       1.778223003507e+00      -1.554013632226e-07       2.475688461762e-03       2.475688461744e-03       2.475688461763e-03       8.418993367731e-01 
       6.859377702340e-01      -6.590015080752e-03      -9.777849064960e+02      -1.135042005071e+03      -6.587508957117e-03      -1.466163105372e+00      -1.466163105372e+00      -1.466163105372e+00      -1.055167770811e+03      -1.110713276670e+03       5.040937578196e-03       5.040937438301e-03       2.270083771642e+03       1.783195548392e+00       8.474742719146e-03      -2.301955112876e-07       5.353231833348e-07      -4.126575040274e-10      -1.578444213964e-07       8.817396973571e-01       8.915976189328e-01       1.781669622295e+00      -1.552633504242e-07       2.502549374632e-03       2.502549374632e-03       2.502549374626e-03       8.435320342982e-01 
       6.891560016048e-01      -6.542679845047e-03      -9.796636162526e+02      -1.137230926083e+03      -6.540192289353e-03      -1.455938894138e+00      -1.455938894138e+00      -1.455938894138e+00      -1.057201069243e+03      -1.112854205753e+03       5.003590319402e-03       5.003590173530e-03       2.274461613191e+03       1.786632400843e+00       8.411956391220e-03      -2.285034861327e-07       5.329023337084e-07      -4.091053181716e-10      -1.551700718408e-07       8.834385911775e-01       8.933160478132e-01       1.785103460285e+00      -1.526081246910e-07       2.444701851089e-03       2.444701851089e-03       2.444701851089e-03       8.451550247916e-01 
