# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=40
# for k=1.04863e-05 to 26.3672 h/Mpc,
# number of wavenumbers equal to 126
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:h                     10:h_prime               11:eta                   12:eta_prime             13:H_T_Nb_prime          14:t_g                   15:t_b                   16:t_cdm                 17:t_ur                  18:t_tot              
       1.523974256867e-01      -6.613911643594e-02      -4.594659922844e+02      -5.336694617630e+02      -6.611523677741e-02      -5.162021694937e+02       4.845286550482e-02       4.845286550482e-02       1.067335550490e+03       8.498912328065e-01       8.093877664691e-02      -6.929040334447e-07       2.141395263370e-08      -2.081388416378e-06       4.198886716219e-01       4.249435590096e-01      -2.057393624534e-06       4.175898575255e-01 
       1.574974782296e-01      -6.274481518615e-02      -4.598197053815e+02      -5.417580044736e+02      -6.272219093372e-02      -5.230250293132e+02       4.596531138279e-02       4.596531138279e-02       1.083512766509e+03       8.613141583242e-01       7.679019541742e-02      -6.661715406607e-07       2.058487270891e-08      -2.000441393941e-06       4.248858981147e-01       4.306551014267e-01      -1.977735338703e-06       4.231050703170e-01 
       1.627664680046e-01      -5.969148398064e-02      -4.636850852558e+02      -5.510895353011e+02      -5.966997516357e-02      -5.314198807090e+02       4.372833073101e-02       4.372833073101e-02       1.102175965038e+03       8.752411335938e-01       7.305650517193e-02      -6.379713380325e-07       1.971594922216e-08      -1.915821519801e-06       4.314171249476e-01       4.376186725486e-01      -1.894248286283e-06       4.298954214584e-01 
       1.682106242718e-01      -5.705851888561e-02      -4.732281597982e+02      -5.626390112082e+02      -5.703795521696e-02      -5.425306435196e+02       4.179963058320e-02       4.179963058320e-02       1.125275058910e+03       8.935152558284e-01       6.983346091273e-02      -6.088506327390e-07       1.881413076613e-08      -1.828228275745e-06       4.405128131351e-01       4.467558203144e-01      -1.807599748655e-06       4.388845921614e-01 
       1.738362352317e-01      -5.483460610995e-02      -4.891840734649e+02      -5.768663219642e+02      -5.481482429543e-02      -5.568535147211e+02       4.017125478192e-02       4.017125478192e-02       1.153729823600e+03       9.169567167865e-01       6.710865403143e-02      -5.793502955022e-07       1.790521180029e-08      -1.740130021966e-06       4.525827421205e-01       4.584766381253e-01      -1.720267958541e-06       4.504762675229e-01 
       1.796496655045e-01      -5.291497539734e-02      -5.103174746641e+02      -5.934250523632e+02      -5.289585784191e-02      -5.739115237358e+02       3.876566138894e-02       3.876566138894e-02       1.186847423498e+03       9.448101964757e-01       6.475404783048e-02      -5.508364477268e-07       1.702218355165e-08      -1.654643959012e-06       4.671287361121e-01       4.724034628149e-01      -1.635422970514e-06       4.642804653716e-01 
       1.856573780657e-01      -5.114019182308e-02      -5.336535129547e+02      -6.112866185186e+02      -5.112168786494e-02      -5.923933999807e+02       3.746630745659e-02       3.746630745659e-02       1.222570684987e+03       9.749938399002e-01       6.257737258040e-02      -5.242680975073e-07       1.620215239136e-08      -1.575259698326e-06       4.828815425187e-01       4.874953633196e-01      -1.556630451392e-06       4.792379627111e-01 
       1.918659614908e-01      -4.932974493654e-02      -5.550622348021e+02      -6.287917281776e+02      -4.931187816232e-02      -6.102851278753e+02       3.614032485163e-02       3.614032485163e-02       1.257581020279e+03       1.004269691199e+00       6.035854809668e-02      -5.004523028309e-07       1.546594457453e-08      -1.503896152305e-06       4.979591066206e-01       5.021333597074e-01      -1.485892042333e-06       4.937152119347e-01 
       1.982821633669e-01      -4.734345703384e-02      -5.706736316216e+02      -6.441934059956e+02      -4.732630646811e-02      -6.255386698818e+02       3.468502598177e-02       3.468502598177e-02       1.288384478785e+03       1.029334232283e+00       5.792721319773e-02      -4.793111722125e-07       1.481291141418e-08      -1.440431415314e-06       5.105020575162e-01       5.146656929954e-01      -1.423146017778e-06       5.060547602841e-01 
       2.049129307384e-01      -4.515245301495e-02      -5.787716400126e+02      -6.565982118056e+02      -4.513610707506e-02      -6.371464606572e+02       3.307925563205e-02       3.307925563205e-02       1.313194183153e+03       1.048546078021e+00       5.524777748143e-02      -4.602966060373e-07       1.422412644499e-08      -1.383038791496e-06       5.196374410550e-01       5.242716724365e-01      -1.366574162604e-06       5.154407638068e-01 
       2.117654584907e-01      -4.284738538531e-02      -5.808328288409e+02      -6.664724406853e+02      -4.283189292876e-02      -6.457223229764e+02       3.138995982837e-02       3.138995982837e-02       1.332942728238e+03       1.062877440479e+00       5.243069685404e-02      -4.422838887874e-07       1.366975450231e-08      -1.328897292440e-06       5.259959271112e-01       5.314374069300e-01      -1.313309653252e-06       5.223735955297e-01 
       2.188472466333e-01      -4.058870028103e-02      -5.810946948584e+02      -6.754378148615e+02      -4.057404311784e-02      -6.532651134738e+02       2.973462857615e-02       2.973462857615e-02       1.350873563674e+03       1.075519531506e+00       4.966999343324e-02      -4.244635860111e-07       1.311691164213e-08      -1.274922593345e-06       5.314763965057e-01       5.377585055607e-01      -1.260192321597e-06       5.284698576079e-01 
       2.261661675392e-01      -3.852858354332e-02      -5.847732056581e+02      -6.855377740955e+02      -3.851468036929e-02      -6.622747829189e+02       2.822527530958e-02       2.822527530958e-02       1.371073572512e+03       1.090489318383e+00       4.715107580454e-02      -4.058304371653e-07       1.254321555182e-08      -1.219034126997e-06       5.384199805511e-01       5.452434541208e-01      -1.205070852895e-06       5.357570552614e-01 
       2.337305443511e-01      -3.675519496714e-02      -5.957653718387e+02      -6.984713778969e+02      -3.674192978714e-02      -6.747633557969e+02       2.692624616895e-02       2.692624616895e-02       1.396940873734e+03       1.111027928668e+00       4.498061115085e-02      -3.866324343240e-07       1.194890583797e-08      -1.161291945599e-06       5.486508860990e-01       5.555128163661e-01      -1.147967681175e-06       5.458613312697e-01 
       2.415492419777e-01      -3.525382006830e-02      -6.145408667885e+02      -7.147558652585e+02      -3.524108532675e-02      -6.912348281615e+02       2.582673668709e-02       2.582673668709e-02       1.429509941543e+03       1.137979880425e+00       4.314129725227e-02      -3.675159965503e-07       1.135799121795e-08      -1.103991393779e-06       5.625402071833e-01       5.689888490230e-01      -1.091189517653e-06       5.591906759201e-01 
       2.496317724131e-01      -3.390321345052e-02      -6.372798719362e+02      -7.330581445588e+02      -3.389095300904e-02      -7.099951436343e+02       2.483767579104e-02       2.483767579104e-02       1.466114588029e+03       1.168647993236e+00       4.148606833110e-02      -3.494511876515e-07       1.080009826390e-08      -1.049920973680e-06       5.784395579951e-01       5.843229590344e-01      -1.037583497108e-06       5.743721963872e-01 
